Category,Message
Code Enforcement Section,Vacant storefront
Bank account or service,Deposits and withdrawals
Consumer Loan,Taking out the loan or lease
Student loan,Repaying your loan
Debt collection,Communication tactics
Mortgage,"Loan modification,collection,foreclosure"
Housing Inspection Services,Livingroom is flooded.
Bank account or service,Deposits and withdrawals
Department of Bldg Inspection,"Abandeoned building, in disrepair; abandeoned for 4 years, front gate is boarded up."
Payday loan,Charged fees or interest I didn't expect
Other financial service,Unexpected/Other fees
Prepaid card,Unauthorized transactions/trans. issues
Code Enforcement Section,"Failure to comply with tier iii, mandatory soft-story seismic retrofit per sfbc chapter 5 code section 505e.2. permit inspections incomplete"
Credit card,Rewards
Credit reporting,Incorrect information on credit report
Electrical Inspection Division,Exposed electrical wiring on the ceiling and walls.  exposed electrical wiring on floor where floor and wall meet under mirror display racks.  overhead track lighting appears not installed to code.
Mortgage,"Application, originator, mortgage broker"
Credit reporting,Incorrect information on credit report
Debt collection,False statements or representation
Bank account or service,Deposits and withdrawals
Credit reporting,Credit reporting company's investigation
Debt collection,Disclosure verification of debt
Debt collection,Improper contact or sharing of info
Credit card,APR or interest rate
Credit card,Billing statement
Mortgage,Settlement process and costs
Credit reporting,Incorrect information on credit report
Disabled Access Division,No access for disabled people.
Department of Bldg Inspection,"No heat; bathroom has no vent, mold, mildew; doors need adjusting; no light fixtures for lights sockets only; leak from kitchen ceiling/water damage; kitchen sink not caulked properly tiles coming off; broken smoke detector."
Electrical Inspection Division,Work without permit - rear cottage - witnessed 2nd floor nmc wiring and new walls (exposed).
Disabled Access Division,"Steps at front door prevent access by disabled.  also, there is no accessible toilets."
Consumer Loan,Managing the loan or lease
Credit card,Customer service / Customer relations
Consumer Loan,Managing the loan or lease
Housing Inspection Services,Garbage hasn't been picked up and it is everywhere.
Code Enforcement Section,"Vacant storefront
2020 registration due 7/24/20"
Credit card,Advertising and marketing
Plumbing Inspection Division,Rain water from rear yard concrete pad drains into the house at 119 ellert street.
Debt collection,Cont'd attempts collect debt not owed
Prepaid card,Fraud or scam
Bank account or service,"Account opening, closing, or management"
Bank account or service,Deposits and withdrawals
Electrical Inspection Division,2 - 600 watt portable heaters would cause all power to go out in whole house - outside lights don't work - rear light has water in it.
Building Inspection Division,Date last observed: 13-jan-20;    time last observed: 01/13/2020;    identity of person performing the work: landlord;    exact location: main bldg;    building type: residence/dwelling   water intrusion; insects/rodents; mold; other plumbing; ;    additional information: mold in downstairs bathroom; rodents all over the house; asthma related issues;
Debt collection,Disclosure verification of debt
Inspection Services,550 7th street --- caller states construction noise started at 5:30 am. hammering (sr #11910388)
Electrical Inspection Division,Electrical work without permit.
Money transfers,Money was not available when promised
Payday loan,Charged fees or interest I didn't expect
Electrical Inspection Division,"Doing electrical work without a permit as well as plumbing, drywalling, sanding, sheetrock, etc.  debris is flying and falling into the food on the grounds."
Plumbing Inspection Division,First floor ceiling is leaking dow to the bathroom area.
Debt collection,Disclosure verification of debt
Electrical Inspection Division,1 switch installed without permit.
Building Inspection Division,Date last observed: 05-aug-20;    time last observed: 1200 hours;    identity of person performing the work: not compliant with sro sprinkl;    exact location: main bldg;    building type: residence/dwelling   expired permits; other building;
Plumbing Inspection Division,The vent pipe is hanging from the roof and may fall down and hit somebody on the head.
Payday loan,Applied for loan/did not receive money
Electrical Inspection Division,"Building owner carol wong is performing demolition to apt. 336 1/2 second avenue beyond the scope of her building permit.  we're concerned about the hanging electrical lines, transformers and exposed outlets that could pose a safety concern."
Department of Bldg Inspection,"Dilapidated housing-boarded up windows, graffitti-never cleaned off, is worse."
Credit card,APR or interest rate
Credit card,Other
Student loan,Repaying your loan
Credit card,APR or interest rate
Department of Bldg Inspection,Installing a new kitchen and bathroom -possibly without permit.
Credit card,Transaction issue
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 111988 , serial no 1901113054087"
Electrical Inspection Division,45 days of lights going on and off.  small appliances burning up.  possible fire hazard.  pg&e came out said it was wiring inside.
Housing Inspection Services,Door can  not be locked  wall switch at bed room is not working and etc..
Building Inspection Division,Interior construction work inside unit w/o permit.
Prepaid card,"Managing, opening, or closing account"
Consumer Loan,Account terms and changes
Bank account or service,Problems caused by my funds being low
Electrical Inspection Division,Continuous loss of power at all units.  main building power goes out regularly (one a week).
Disabled Access Division,"Illegal landing at entry doors, etc."
Money transfers,Fraud or scam
Building Inspection Division,Date last observed: 03-aug-20;    identity of person performing the work: sunset glass;    exact location: main bldg;    building type: residence/dwelling   other building; ;    additional information: fire hazard--mr. howard:  the original window was not a casement window.  it was a fixed-9 pane window-non-operable-and was there at least 25 years.  i ask you sf if you think this new operable window is fire safe located so close to the next building?;
Credit card,Rewards
Inspection Services,"--- Property has been approved for a plumbing permit however, there is construction throughout the entire property, including structural and electrical. also, the permit is not displayed. (311 sr#12643723)"
Housing Inspection Services,Mold and mildew.
Credit card,Other
Credit reporting,Incorrect information on credit report
Building Inspection Division,Date last observed: 09-feb-20;    exact location: main bldg;    building type: residence/dwelling   hazardous outlet wiring; illegal unit; exposed wiring; mold;
Student loan,Problems when you are unable to pay
Consumer Loan,Managing the loan or lease
Money transfers,Incorrect/missing disclosures or info
Money transfers,Other service issues
Credit reporting,Incorrect information on credit report
Bank account or service,"Account opening, closing, or management"
Code Enforcement Section,Vacant storefront
Prepaid card,"Managing, opening, or closing account"
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 110148 , serial no 303724"
Bank account or service,"Account opening, closing, or management"
Credit reporting,Incorrect information on credit report
Prepaid card,Unauthorized transactions/trans. issues
Inspection Services,Blight. abandoned vacant storefront (311 sr#11798039)
Building Inspection Division,110 gough st. there is a pizzeria at this building with an exhaust fan on the roof that is creating intolerable noise and vibration in certain areas of our leased offices. the fan is old and needs to be repaired or replaced. (311 sr 12010205)
Money transfers,Other transaction issues
Debt collection,Cont'd attempts collect debt not owed
Housing Inspection Services,Routine
Mortgage,Settlement process and costs
Credit card,Other
Student loan,Dealing with my lender or servicer
Mortgage,"Loan servicing, payments, escrow account"
Money transfers,Wrong amount charged or received
Other financial service,Fraud or scam
Consumer Loan,Managing the loan or lease
Credit card,Billing statement
Money transfers,Fraud or scam
Electrical Inspection Division,"Hazardous wiring, laying concrete and exposed gas lines."
Credit reporting,Incorrect information on credit report
Student loan,Problems when you are unable to pay
Bank account or service,Using a debit or ATM card
Inspection Services,Excessive construction noise.
Inspection Services,Building being raised approx. 18in w/out permit. exceeding scope of permit
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 108475 , serial no 1739107681675"
Payday loan,Can't stop charges to bank account
Credit reporting,Incorrect information on credit report
Credit reporting,Incorrect information on credit report
Building Inspection Division,2904 23rd st. --- 2 gasoline generators running in backyard. seems excessive and unsafe. pouring in gasoline as they are running. 2ftx3ftx5ft and 2ftx2ftx3ft in size. (311 sr 11957017)
Inspection Services,"355 byxbee st, san francisco --- the new owners of 355 byxbee st have paved over their complete front yard and replaced existing sidewalk. i thought this was not allowed and i didn't see any permits for the work. there might be some interior work happening without permits also (311 sr#11946343)"
Consumer Loan,Taking out the loan or lease
Student loan,Problems when you are unable to pay
Housing Inspection Services,No heat! complainant is leagally blind  stove oven emitting strong odor  has caught cold from lack of heat  kitchen floor linoleum torn off floor  door knob broken cannot use key  window lock broken  bathroom sink leaking  spiders. manager collected clea ning deposit  but did not clean premises.
Department of Bldg Inspection,Illegal unit downstairs.
Debt collection,Improper contact or sharing of info
Building Inspection Division,Front elevated entry walkway in danger of immenent collapse
Bank account or service,"Account opening, closing, or management"
Credit reporting,Credit reporting company's investigation
Disabled Access Division,"Electronic door opener is not working since september 22, 2003."
Disabled Access Division,The restrooms are not accessible on any floor.
Electrical Inspection Division,"Lot of electrical cords for one outlet and is all over the place, also in the basement too.  there is smoke coming out from one of the cord.  afraid of fire hazard."
Other financial service,Unexpected/Other fees
Money transfers,Other transaction issues
Housing Inspection Services,"There is interior painting in the unit, lead and abestos concern"
Mortgage,"Loan modification,collection,foreclosure"
Bank account or service,Deposits and withdrawals
Disabled Access Division,"Wheelchair lift at entrance has sliding gate, not accessible, sleeping room too small, no complying tub or shower."
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 108366 , serial no 1641103613490"
Housing Inspection Services,Hole in bedroom ceiling.
Money transfers,Incorrect/missing disclosures or info
Inspection Services,"147 silliman --- resident reporting a neighbor performing roof construction work. resident is concerned about asbestos possibly harming her health, and the possibility of there not being a permit for the work being performed. (311 sr#12637965)"
Housing Inspection Services,Plumbing problems  electrical  (door bell hasn't worked in over a year) back porch weak and unsafe - no support rail.
Code Enforcement Section,Vacant buidling
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 105333 , serial no 0401216710"
Building Inspection Division,Date last observed: 12-feb-20;    time last observed: 9:08pm;    exact location: main bldg;    building type: commercial/business   work beyond scope of permit; other building; ;    additional information: this is a noise complaint for construction occurring past 8pm. it is now 9:10pm and this has happened multiple nights in a row.;
Money transfers,Money was not available when promised
Payday loan,Charged fees or interest I didn't expect
Building Inspection Division,Date last observed: 25-jul-20;    identity of person performing the work: green truck - broadway mechani;    exact location: side bldg;    building type: residence/dwelling   work w/o permit; work beyond scope of permit; ;    additional information: replaced windows entry / rear sides of 366 unit;
Bank account or service,Deposits and withdrawals
Credit reporting,Credit reporting company's investigation
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 112744 , serial no c06169052"
Inspection Services,"Building installed watering system over sidewalk, wth? i don't see any plants out there as it's designed to illegally keep people from sitting. (311 sr#11895355)"
Consumer Loan,Managing the loan or lease
Disabled Access Division,1)  accessible spaces are located very far from elevator lobby. you have to walk down ramp where cars drive up. 2)  a car was parked in the unloading zone.
Student loan,Repaying your loan
Money transfers,Fraud or scam
Credit reporting,Incorrect information on credit report
Code Enforcement Section,Vacant storefront
Plumbing Inspection Division,"Failure to comply with corrective action as required on notice of violation, posted on 1/2/1996 for bathroom remodeling at 1st and 2nd floor community use bathrooms. - case referred to code enforcement division for abatement proceedings, 558-6454."
Money transfers,Wrong amount charged or received
Housing Inspection Services,Mold on window frames.
Code Enforcement Section,"Vacant building 
2020 registration due 03/06/20"
Inspection Services,1746 revere --- caller reporting that the construction crew at this location is not wearing masks and not observing social distancing protocols. (311 sr#12631166)
Student loan,Problems when you are unable to pay
Housing Inspection Services,Possible illegal use of garage.  auto repair shop in garage  causing oil to be on the driveway and sidewalk.  hours of business varies.
Credit reporting,Incorrect information on credit report
Disabled Access Division,No curb ramps/no access for wheelchairs.
Department of Bldg Inspection,"A drain pipe was installed about a month ago, from the roof to the street. it is attached to the door jamb in such a way that mr. dilosa and family trip over it entering and exiting their apartment. safety hazard."
Mortgage,"Loan modification,collection,foreclosure"
Electrical Inspection Division,We're having power outages off and on.
Payday loan,Charged fees or interest I didn't expect
Electrical Inspection Division,New electrical service without permit.
Code Enforcement Section,Vacant storefront
Student loan,Can't repay my loan
Credit card,Other
Inspection Services,Work w/out permit  new bathroom was built & one remodel.  new deck built.
Inspection Services,"634 rockdale dr --- caller wanted to file a report about what is permitted work on 634 rockdale dr? caller wants to note that the construction crew at this address dug a huge trench in the sidewalk ifo this address, and caller noted that this was a hazardous trench, forcing pedestrians into the street. the caller was not able to spot or eye any paperwork - is this construction within the scope of their permit? (311 sr#12024852)"
Bank account or service,"Account opening, closing, or management"
Disabled Access Division,"Lack of two exits from restaurant directly to the outside of the building, no occupant load signage."
Credit card,APR or interest rate
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 108773 , serial no 1612387139"
Credit card,APR or interest rate
Payday loan,Received a loan I didn't apply for
Payday loan,Can't stop charges to bank account
Building Inspection Division,Date last observed: 13-jan-20;    time last observed: 1000am;    exact location: main bldg;    building type: commercial/business   vacant structure; ;    additional information: abandoned vacant storefront;
Debt collection,Disclosure verification of debt
Consumer Loan,Managing the loan or lease
Debt collection,Improper contact or sharing of info
Housing Inspection Services,Sidewalk has garbage all over  car oil and auto parts.
Debt collection,Improper contact or sharing of info
Building Inspection Division,"Remodeled second floor and remodeled illegal in law in the garage level.  installed gas stove, installed door at the bottom of the stairs at ground floor, new stairs installed in new location, unpermitted back yard deck - possible expansion,  installed attic heater without permit, vinyl windows facing the street at garage level. work without permits.  new electrical and plumbing throughout.  no permits taken out."
Student loan,Dealing with my lender or servicer
Bank account or service,Deposits and withdrawals
Electrical Inspection Division,"Ms. abdur-rahin is leasing a commercial property, and she's connected to the same meter and power box as a neighboring business, and power keeps cutting off and on, and it over-heats, no access to meter box.  (there are 2 salons sharing power; hers and one next door)"
Building Inspection Division,Date last observed: 07-jul-20;    time last observed: 12:00 pm;    identity of person performing the work: unknown;    floor: ground;    unit: 11 a;    exact location: main bldg;    building type: residence/dwelling   exposed wiring; electrical work being performed w/o permit; ;    additional information: complaintent states that work without permit performed and exposed electrical wiring;
Code Enforcement Section,Vacant buidling
Disabled Access Division,No handicap door for disabled.
Prepaid card,Unauthorized transactions/trans. issues
Code Enforcement Section,Vacnt storefront
Credit card,Closing/Cancelling account
Student loan,Repaying your loan
Building Inspection Division,"Date last observed: 10-aug-20;    time last observed: 9:00 am;    exact location: main bldg;    building type: commercial/business   other building; disabled acc: entrance;  other disabled access; ;    additional information: construction work is currently being performed at this location.  there are two permits for this job. according to your website permit ending in 995 is for the commercial space and cost of construction is represented on your website at $18,000.  permit ending in 997 is for the residential part and cost of the construction is prepresented at $111,337.  most of the work is being performed in the commercial space, building use 05, food/beverage hndlng, not the residential area.  why is the cost of construction of the residential permit ending in 997 significantly higher and the commercial cost of this construction significantly lower, is this to avoid the ada upgrades by keeping the percentage of ada upgrades lower?;"
Mortgage,"Loan servicing, payments, escrow account"
Credit card,Billing statement
Mortgage,"Loan servicing, payments, escrow account"
Consumer Loan,Managing the loan or lease
Building Inspection Division,Task force
Other financial service,Lost or stolen money order
Credit reporting,Incorrect information on credit report
Bank account or service,Deposits and withdrawals
Electrical Inspection Division,Work without permit at store -  amel's liquors.
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 109372 , serial no 1709072366"
Prepaid card,Unauthorized transactions/trans. issues
Debt collection,Cont'd attempts collect debt not owed
Code Enforcement Section,"Vacant storefront
2020 registation due 2/7/20"
Debt collection,Improper contact or sharing of info
Consumer Loan,Problems when you are unable to pay
Prepaid card,"Managing, opening, or closing account"
Consumer Loan,Taking out the loan or lease
Department of Bldg Inspection,"No source of heat, electricity is faulty, leak coming from upstairs bathtub to downstairs bathroom."
Student loan,Repaying your loan
Money transfers,Money was not available when promised
Department of Bldg Inspection,Work without permit.  questionably safe automatic soap and cleanser dispenser system connected in unapproved below code manner to janitor sink in area of inspection.  -- inspection of the premises was made by dtshea on 2/06/1998
Housing Inspection Services,4 floors elevator not working landlord has put locks on elevator on each floor says keys will be distributed to tenants.. elevator out of order two weeks prior to locks.
Other financial service,Unexpected/Other fees
Building Inspection Division,Bldg. #202007140109 -  building a fence over 6 feet high. there is already a concrete wall betwee 3-6 feet high on property line. this permit (#202007140109) should not have been issued.  this wall is not a retaining wall.
Prepaid card,Unauthorized transactions/trans. issues
Money transfers,Fraud or scam
Mortgage,"Loan servicing, payments, escrow account"
Other financial service,Customer service/Customer relations
Plumbing Inspection Division,"Flue work without permit for glass melting furnace.  gas fumes are making tenant jane grimm in #4c ill.  flue comes from lower unit, the bob belucci studio with tel. no. 415-822-4280.  building manager has keys call --thomas wojak tel no. 415-431-7200.  complaint was received by dennis king on march 24, 1997."
Payday loan,Charged bank acct wrong day or amt
Mortgage,"Loan modification,collection,foreclosure"
Payday loan,Charged fees or interest I didn't expect
Code Enforcement Section,"Vacant storefront
2020 registratio due6/21/20"
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 105988 , serial no 1841112164035"
Debt collection,Disclosure verification of debt
Debt collection,Communication tactics
Housing Inspection Services,Business being ran out of an apartment(moon-lite manitenance co)  has a permit to park business trucks in a residential area?  is this legal?
Inspection Services,Construction. jack hammering. excessive nonstop noise. (311 sr#11762839)
Bank account or service,Problems caused by my funds being low
Payday loan,Can't contact lender
Consumer Loan,Managing the loan or lease
Housing Inspection Services,Date last observed: 05-jul-20;    time last observed: 6:05am;    floor: 5;    unit: 512;    exact location: main bldg;    building type: residence/dwelling   insects/rodents; disabled acc: elevator/lift;  ;    additional information: cockroaches ;
Bank account or service,"Account opening, closing, or management"
Building Inspection Division,"Address listed as 34 turk,across the street of 34 turk street, should be 950 market st. construction started at 5:00am this morning. this is not the first time they have started at 5:00am. (311 sr 11951155)"
Building Inspection Division,Date last observed: 29-jul-20;    time last observed: 9:30 pm;    floor: 1;    exact location: main bldg;    building type: residence/dwelling   other building; ;    additional information: excessive bright uplighting in urban bird refugee ;
Money transfers,Other transaction issues
Money transfers,Wrong amount charged or received
Department of Bldg Inspection,Illegal unit.
Credit reporting,Incorrect information on credit report
Code Enforcement Section,"Vacant storefront
2020 registration due 8/21/20"
Other financial service,Customer service/Customer relations
Building Inspection Division,Saturdays and sundays they start drilling and hammering between 7 & 8 am. (311 sr 12119358)
Payday loan,Charged fees or interest I didn't expect
Housing Inspection Services,No hot water in three occasion.  fire extinguisher is not inspected since july  1994.
Credit reporting,Incorrect information on credit report
Department of Bldg Inspection,Possible illegal unit near garage.  address 3874-1a.
Student loan,Repaying your loan
Mortgage,"Loan modification,collection,foreclosure"
Housing Inspection Services,Illegal unit in basement.
Credit card,Other
Electrical Inspection Division,"Electrical work being done without permit.  lights, receptacles, and switches installed in basement room ( also already sheetrocked) without electrical permit."
Bank account or service,"Making/receiving payments, sending money"
Bank account or service,"Account opening, closing, or management"
Debt collection,Disclosure verification of debt
Prepaid card,Unauthorized transactions/trans. issues
Bank account or service,"Account opening, closing, or management"
Mortgage,"Loan servicing, payments, escrow account"
Building Inspection Division,"Date last observed: 10-jul-20;    time last observed: 12;30pm;    floor: all three;    exact location: main bldg;    building type: residence/dwelling   water intrusion; broken sewer; mold; structural problems; ;    additional information: broken main street drain, sewage water backing up in garage repeatedly for many months / years. landlord refuses to fix. just keeps calling roto rooter who has advised on multiple occasions that the problem is in the drain pipe under sidewalk which must be cut up and replaced. he knows this and refuses to fix.;"
Payday loan,Charged fees or interest I didn't expect
Credit card,Billing statement
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 108878 , serial no pt0020126"
Code Enforcement Section,Vacant storefront
Student loan,Repaying your loan
Consumer Loan,Managing the loan or lease
Inspection Services,"Night noise 2am sunday 8/4. i checked data and they have no permit. it is in this area. very loud, trucks, back up, and steel crashing. if it's not here it's close to here. possibly 188 octavia but more than likely market street. can't have this. this is a residential area. (311 sr#12727612)"
Code Enforcement Section,"Failure to comply with tier iii, mandatory soft-story seismic retrofit per sfbc chapter 5 code section 505e.2. permit inspections incomplete"
Housing Inspection Services,"On january 17, 2020, our tenant, in unit 42a at 42 farragut ave reported that after the heavy rain from the day before, the carpet in his bedroom got very wet.  investigation revealed the gutter system at the neighboring property at 40 farragut ave is rusted and broken and allowing all the rainwater to fall into the void space between our properties.   further investigation revealed that there is a crack in the concrete foundation located in the void space that belongs to 40 farragut ave.  in order to prevent future water intrusion, the gutter and crack in the foundation needs to be repaired or replaced. ;"
Code Enforcement Section,"Failure to comply with tier iii, mandatory soft-story seismic retrofit per chapter 34b of the sfbc. permit inspections none found."
Prepaid card,Unauthorized transactions/trans. issues
Payday loan,Charged fees or interest I didn't expect
Electrical Inspection Division,"He was refers to you by his division - david - lighting in the hallway, most of them are not working unless they are operated on a 24 hrs/day basis cause most of them are brken."
Code Enforcement Section,Vacant buidling
Electrical Inspection Division,Electrical service burned off at weatherhead. pg&e will not re-energize until repaired by an electrician and approved by eid. please inspect to expidite process.
Code Enforcement Section,Vacant buidling
Student loan,Can't repay my loan
Credit card,Identity theft / Fraud / Embezzlement
Bank account or service,Deposits and withdrawals
Debt collection,Communication tactics
Building Inspection Division,"Date last observed: 31-dec-19;    time last observed: wayne;    identity of person performing the work: owners judy and jin lee;    floor: all;    exact location: main bldg;    building type: residence/dwelling   disabled acc: elevator/lift;  ;    additional information: after 37 days of not having a working elevator, it worked for only 1 week and then failed again on new year’s eve.;"
Consumer Loan,Managing the loan or lease
Money transfers,Fraud or scam
Electrical Inspection Division,Received phone message about transformer being installed. no permit on file.
Electrical Inspection Division,1735 noriega street - working without permit.
Bank account or service,"Account opening, closing, or management"
Code Enforcement Section,Construction crews and proeprty management company not following covid-19 safety protocols
Credit reporting,Incorrect information on credit report
Student loan,Dealing with my lender or servicer
Mortgage,"Loan modification,collection,foreclosure"
Credit reporting,Incorrect information on credit report
Payday loan,Charged fees or interest I didn't expect
Department of Bldg Inspection,Two illegal units.
Consumer Loan,Taking out the loan or lease
Department of Bldg Inspection,"4748 and 2450 - 25th street, the sewer vent is next to my window level.  695 grand view avenue is concerned about the health risk factor."
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 108478 , serial no 1742107903523"
Mortgage,"Loan servicing, payments, escrow account"
Money transfers,Fraud or scam
Credit card,Other
Debt collection,Cont'd attempts collect debt not owed
Payday loan,Can't stop charges to bank account
Building Inspection Division,Date last observed: 08-feb-20;    time last observed: 2/16/20;    identity of person performing the work: the tenants in 450 plymouth av;    floor: entrance o;    unit: 450 plymou;    exact location: main bldg;    building type: residence/dwelling   other building; other housing; disabled acc: entrance;  disabled acc: path of travel;  ;    additional information: the apartment is leaving trash bins and trash along the street. there delivery boxes with address located on them. called 311 multiple times. this has been ongoing for a month. ;
Department of Bldg Inspection,"Bathroom-wood exposed around bathtub, rotten; leaky roof-fixed but never repaired water damage in bedroom; mold throughtout the house."
Disabled Access Division,Can't open door to restaurant.
Disabled Access Division,"2 story restaurant, no wheelchair access to 2nd floor or toilets. disabled diners have to exit restaurant, go up alley to campton place hotel to use bathroom."
Consumer Loan,Problems when you are unable to pay
Credit reporting,Incorrect information on credit report
Credit reporting,Incorrect information on credit report
Other financial service,Excessive fees
Code Enforcement Section,"Vacant storefront
2020 registration due 6/7/20"
Credit card,Late fee
Inspection Services,"Closed store, obsolete signs. please remove signs and register as empty storefront. (311 sr#11933814)"
Student loan,Can't repay my loan
Credit card,Bankruptcy
Housing Inspection Services,Water leaking from above floor for 1 yr. damage of occupant's possessions has occured as a result of leakage. management has ignored complaint.
Student loan,Repaying your loan
Department of Bldg Inspection,"There are people living in there illegally , it is  commerical space(building)"
Student loan,Dealing with my lender or servicer
Bank account or service,Problems caused by my funds being low
Consumer Loan,Managing the loan or lease
Credit card,Payoff process
Money transfers,Fraud or scam
Student loan,Dealing with my lender or servicer
Prepaid card,Unauthorized transactions/trans. issues
Plumbing Inspection Division,Sewage from 715 clay is seeping thru foundation into 710 commercial basement.  note:  the business owner of 715 clay street said that a broken sewer line in his basement was detected thru a camera by a plumbing company
Student loan,Repaying your loan
Credit card,Identity theft / Fraud / Embezzlement
Mortgage,"Application, originator, mortgage broker"
Department of Bldg Inspection,"About a year ago when the bldg. was sold, they sent painters to paint the outside of the bldg. & they painted the window shut.  about 2 months ago they sent people to paint the inside of my apartment and they painted the window shut on the inside, so i could not open any of my windows for over a year."
Credit card,Closing/Cancelling account
Money transfers,Fraud or scam
Student loan,Dealing with my lender or servicer
Money transfers,Money was not available when promised
Mortgage,"Application, originator, mortgage broker"
Code Enforcement Section,Vacant storefront
Money transfers,Fraud or scam
Payday loan,Charged fees or interest I didn't expect
Consumer Loan,Problems when you are unable to pay
Code Enforcement Section,Vacant storefront
Building Inspection Division,"Date last observed: 16-jul-20;    time last observed: july 16,2020;    exact location: none of the above;    building type: residence/dwelling   other housing; ;    additional information: the foundation on the back side of this property is very weak and may collapse onto my yard. the deterioration is on the outer perimeter and can only be viewed from backyards of two properties on 32nd avenue. ;"
Money transfers,Money was not available when promised
Bank account or service,Deposits and withdrawals
Electrical Inspection Division,Plastic conduit inside the bedroom; short circuit for electrical in my room; exposed wiring outside at the door bell which it wasn't working and already notify landlord.  plug no cover in the hallway.
Debt collection,Cont'd attempts collect debt not owed
Bank account or service,Deposits and withdrawals
Debt collection,Cont'd attempts collect debt not owed
Housing Inspection Services,Health and safety inspection of apartment house. sec.302.(a)hc
Code Enforcement Section,Vacant storefront
Other financial service,Disclosures
Money transfers,Fraud or scam
Disabled Access Division,Shelter for 60 men only; no women; i doubt it has the required disabled access permits.
Consumer Loan,Problems when you are unable to pay
Prepaid card,"Managing, opening, or closing account"
Other financial service,Fraud or scam
Housing Inspection Services,Rodents.  hole in the wall under the kitchen sink.
Department of Bldg Inspection,"Neighbor's monterey pines located about two feet from uphill side of house.  roots have raised sidewalk causing repairs on two occasions costing $4000 and causing probable damage to foundation.  pine needles clog drains causing leaks in house necessitating about $40,000 in repairs.  wish to have neighbor remove trees but he refuses to answer complaintant's letters.  please call before coming, 567-3331 or call daughter, barbara brunes, 510/376-4281."
Other financial service,Fraud or scam
Consumer Loan,Taking out the loan or lease
Payday loan,Can't stop charges to bank account
Plumbing Inspection Division,Two unvented water heaters in rear locked storage room
Electrical Inspection Division,Fire on saturday (3-10-2001).  smoke detector on electrical circuit and it did not work.  circuit breaker blow out all the time and its hook up on the neighbor panel - fire hazard.
Bank account or service,Using a debit or ATM card
Debt collection,Cont'd attempts collect debt not owed
Mortgage,"Loan servicing, payments, escrow account"
Prepaid card,"Managing, opening, or closing account"
Credit card,APR or interest rate
Electrical Inspection Division,"Electrical work without permit, also doing major repairs."
Plumbing Inspection Division,Broken sewer.  sewage is backing up inside and outside of the building
Code Enforcement Section,"Vacant storefront
2020 registration due 6/19/20"
Electrical Inspection Division,Owner enlarged windows on side of house looking into bedroom and other rooms of complaintants house without notifying owner.
Money transfers,Wrong amount charged or received
